SPCD,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL
6403,gia verde,Casearia,arborea,,,CAAR8
6405,keuert,Casearia,cauliflora,,,CACA28
6406,wild honeytree,Casearia,decandra,,,CADE11
6407,Guyanese wild coffee,Casearia,guianensis,,,CAGU2
6408,Casearia,Casearia,spp.,,,CASEA
6410,crackopen,Casearia,sylvestris,,,CASY2
6415,golden shower,Cassia,fistula,,,CAFI3
6417,pink shower,Cassia,grandis,,,CAGR11
6418,apple blossom,Cassia,javanica,,,CAJA3
6420,kassod tree,Cassia,siamea,,,CASI4
6422,Cassia,Cassia,spp.,,,CASSI
6425,marbletree,Cassine,xylocarpa,,,CAXY
6427,goatwood,Cassipourea,guianensis,,,CAGU3
5401,Japanese chestnut,Castanea,crenata,,,CACR27
421,American chestnut,Castanea,dentata,,,CADE12
424,Chinese chestnut,Castanea,mollissima,,,CAMO83
422,Allegheny chinkapin,Castanea,pumila,,,CAPU9
423,Ozark chinkapin,Castanea,pumila,ozarkensis,,CAPUO
5402,European chestnut,Castanea,sativa,,,CASA27
420,chestnut spp.,Castanea,spp.,,,CASTA
6429,goatbush,Castela,erecta,,,CAER3
6430,Panama rubbertree,Castilla,elastica,,,CAEL5
6433,river sheoak,Casuarina,cunninghamiana,,,CACU8
6434,beach sheoak,Casuarina,equisetifolia,,,CAEQ
856,gray sheoak,Casuarina,glauca,,,CAGL11
857,belah,Casuarina,lepidophloia,,,CALE28
6437,"gagu,australian pine",Casuarina,litorea,,,CALI8
855,sheoak spp.,Casuarina,spp.,,,CASUA
451,southern catalpa,Catalpa,bignonioides,,,CABI8
6439,Haitian catalpa,Catalpa,longissima,,,CALO8
5411,Chinese catalpa,Catalpa,ovata,,,CAOV5
452,northern catalpa,Catalpa,speciosa,,,CASP8
450,catalpa spp.,Catalpa,spp.,,,CATAL
5415,snowbrush ceanothus,Ceanothus,velutinus,,,CEVE
6441,trumpet tree,Cecropia,obtusifolia,,,CEOB
