sp,x,y,CV_TEMP,DRAINAGE_DENS,DS_AVGRIPTRECOV,DS_AVGSLOPE,DS_MINCOLDP_TEMP,MAXWARMP_TEMP,MEAN_MRVBF,NONATVEG,SLOPE_PERCENT,TOTLENGTH_UCA,TRECOV,UC_CV_PPT,UC_RIP_TRECOV,UC_ROAD_DENS,UC_SOLDEPTH,UC_TWI,UCWARMQT_PPT,US_MAXSLOPE,RIV
bg,10033,10033,1.65,2.4364,0.5712,0.1607,2.3805,26.2358,0.4289,0,4.3492,5.1136,1,33.4317,1,0.679,1.2,8.9424,197.8508,15.9344,1
bg,10034,10034,1.73,1.0023,0.4274,0.2819,2.7959,29.4647,1.7591,0,1.0867,0.3087,1,23.0117,1,2.209,0.9,10.5767,88.8649,2.485,3
bg,10035,10035,1.6919,1.4733,0.6275,0.2394,2.4377,25.5822,0.2396,0,5.0682,2.6118,1,32.0745,1,0.9567,0.9,9.208,168.3445,7.5606,1
bg,10036,10036,1.5809,1.5869,0.3623,0.2858,1.0427,24.0734,0.0181,0,12.5657,3.5496,1,14.1019,1,2.4152,0.9313,8.5998,179.4583,42.2666,4
bg,10037,10037,1.61,1.9649,0.6853,0.087,2.939,28.6023,3.0881,0.6275,0.2106,12.2937,0.3725,26.4781,0.1648,1.2894,0.9,11.2908,96.1809,1.8544,2
bg,10038,10038,1.68,0.3818,0.7492,0.0549,2.9202,30.422,7.5978,0.9513,1.2173,0.1034,0.0487,23,0.6,0,1.4,13.1303,66.9675,61.2063,2
bg,10039,10039,1.69,2.0586,0.7316,1.3789,1.666,26.8571,0,0,49.6931,13.5943,1,34.4473,0.9883,0.4384,1.2,8.4378,260.755,51.353,4
bg,10040,10040,1.76,1.6315,0.6101,0.0659,2.4672,29.5464,0.902,0.7746,2.8571,0.4777,0.2185,29.4235,0.418,2.2355,0.9,10.2554,138.0574,3.7541,1
bg,10041,10041,1.6585,1.9358,0.3803,0.5604,1.1502,19.7361,0.0408,0,9.8466,5.356,1,26.109,1,0.1571,1.2,8.7263,324.1582,31.5007,4
bg,10042,10042,1.7186,2.04,0.353,0.3214,1.4663,26.3077,0.1055,0,7.8697,9.1284,1,30.2546,1,0.5139,1.2,8.1346,206.2971,33.2045,4
bg,10043,10043,1.59,1.6228,0.4413,0.0524,2.9424,27.8104,0.6104,0.2687,0.4422,275.6975,0.7163,30.0318,0.7335,2.5802,1.0033,9.7266,135.5629,21.7425,3
bg,10044,10044,1.88,1.9799,0.204,0.0816,1.5633,30.3,4.3015,0.6397,0.6285,2399.3672,0.1373,20.5831,0.9004,0.5009,1.1712,9.0579,231.5634,163.434,4
bg,10045,10045,1.8018,1.5537,0.4591,0.2593,1.9102,29.9296,1.4277,0.931,1.1078,0.2163,0.0632,28.7471,0,3.3864,0.9,11.2234,165.6782,7.2333,4
bg,10046,10046,1.54,2.0267,0.397,0.1604,2.4845,26.1624,0.1553,0,2.3935,16.5234,1,34.0609,1,0.1411,1.2,7.9299,202.6878,46.8516,1
bg,10047,10047,1.67,3.3564,0.4619,0.5964,0.9348,17.7153,0.7206,0,13.8458,0.8163,0.2599,34.9704,0.631,0.491,1.2,10.7005,323.8322,13.8458,4
bg,10048,10048,1.77,6.9486,0.4421,0.0284,3.165,30.6,7.8905,0.8387,0.5263,0.0862,0.0323,19,0.0714,0,1.3,11.4798,75,257.0625,3
bg,10049,10049,1.6605,1.0352,0.4754,0.529,0.9092,18.4692,0.0831,0,14.3985,0.4336,1,34.021,1,0,1.2,9.6838,306.106,14.3985,4
